Needs Edit,Temple,Location,Festival,Tamil Date,English Month,Devotees,Description
NO,Thirumalirunjolai,Madurai Alagar Kovil,Chithirai Pournami Festival,Chithirai Pournami,April-May,10 lakh (1 million),"The festival where the Lord departs for Madurai to witness the wedding of his sister, Meenakshi."
YES,Srivilliputhur,Srivilliputhur,Thiruppavai Month,Margazhi month,December-January,,"The thirty Thiruppavai hymns composed by Sri Andal are recited along with lullabies."
YES,Srivilliputhur,Srivilliputhur,Andal Jayanthi,Aadi Pooram,July-August,,The birth star of Andal (Pooram) is celebrated grandly.
YES,Srivilliputhur,Srivilliputhur,Brahmotsavam,,,2 lakh (200,000),"On the 5th day, the Five Perumals appear in the Garuda Seva, and on the 9th day, the Chariot Festival (Ther) takes place."
YES,Thirukkoodal,Madurai,Garuda Seva,Aani Pournami,June-July,,Garuda Seva on the full moon day.
YES,Thirukkoodal,Madurai,Sayana Festival,,,,"Sayana festival and Mukkani (three fruits) festival."
YES,Thirukkoodal,Madurai,Ennai Kappu,,,,Oil abhishekam festival.
YES,Thirukkoodal,Madurai,Periyazhwar Festival,Aani Swathi (10 days),June-July,,"Ten-day festival during the Swathi star. This is the place where Periyazhwar sang the ""Thirupallandu""."
NO,Thirukkoodal,Madurai,Navaratri,Purattasi,September-October,Many thousands,The Navaratri festival is celebrated grandly.
YES,Thiruvaramangai,Tirunelveli (10 km distance),Brahmotsavam (Chithirai),Chithirai,April-May,,Brahmotsavam celebrated grandly.
YES,Thiruvaramangai,Tirunelveli (10 km distance),Brahmotsavam (Panguni),Panguni,March-April,,Brahmotsavam celebrated grandly.
YES,Thiruvaramangai,Tirunelveli (10 km distance),Ennai Kappu,Thai Amavasya,January-February,,"A special oil abhishekam is performed using one ""kottai"" (a large measure) of oil. The oil is collected in a well and sold to devotees, as it is considered a medicinal cure for diseases."
YES,Thiruvaramangai,Tirunelveli (10 km distance),Lakh Deepam,Once every 6 years,,,"Once every 6 years, one lakh (100,000) lamps are lit in the temple."
NO,Thirukkurugur,Azhwar Thirunagari,Nammazhwar Jayanthi,Vaikasi Visaka,May-June,1 lakh (100,000),This is the birthplace of Nammazhwar. Chariot festival and Theerthavari are held on his birth star.
YES,Thirukkurugur,Azhwar Thirunagari,Nava Tirupathi Garuda Seva,Vaikasi (5th day),May-June,,The deities of the 9 nearby Divya Desams arrive on Garuda mounts to visit Azhwar Thirunagari.
YES,Srirangam,Trichy,Pagal Pathu,Margazhi,December-January,,Ten-day festival during the day.
YES,Srirangam,Trichy,Ra Pathu,Margazhi,December-January,,"Ten-day night festival. On the 10th day, it is believed that Nammazhwar attains Moksha."
NO,Srirangam,Trichy,Vaikunda Ekadasi,Margazhi Ekadasi,December-January,More than 1 lakh (100,000),The Lord provides darsan through the Paramapada Vaasal (gateway to heaven) adorned in the Ratna Angi (gem-studded armor).
NO,Nachiyar Koil,Kumbakonam,Kal Garuda Seva (Margazhi),Margazhi (4th day of Brahmotsavam),December-January,More than 1 lakh (100,000),The Kal Garuda (Stone Garuda) vehicle service on the 4th day of Brahmotsavam. Garuda is adorned with eight snakes as ornaments.
YES,Nachiyar Koil,Kumbakonam,Kal Garuda Seva (Panguni),Panguni (4th day of Brahmotsavam),March-April,,The Kal Garuda vehicle service on the 4th day of Brahmotsavam.
NO,Thirukkudanthai,Kumbakonam,Kumbh Mela,Once every 12 years,,1 million,"When Jupiter enters the Aquarius (Kumba) zodiac sign, Kumbh Mela is celebrated."
NO,Thirukkudanthai,Kumbakonam,Chariot Festival,Chithirai,April-May,1 lakh (100,000),Grand chariot festival.
NO,Thirukkacchi Athigiri,Kanchipuram,Garuda Seva,Vaikasi (3rd day of Brahmotsavam),May-June,2 lakh (200,000),Sri Varadharaja Perumal appears on the Garuda Vahana (mount) on the 3rd day of Brahmotsavam.
NO,Manimada Kovil,Sirkazhi (8 km distance),11 Garuda Seva,Day after Thai Amavasya,January-February,1 lakh (100,000),The deities of the 11 Divya Desams assemble at a pandal in front of Manimada Kovil. Thirumangai Alvar performs Mangalasasanam for each deity. The 11 Divya Desam deities then process through the streets on Garuda Vahana.
